Education Level,Years of Experience,Location,Industry,Job Title,Job Type,Salary
High School,17,Rural,Healthcare,Medical Assistant,Remote,58990.54
Bachelor's Degree,3,Suburban,Tech,Others,Remote,49250.47
Bachelor's Degree,35,Rural,Tech,Project Manager,Remote,86634.66
PhD,3,Urban,Finance,System Administrator,Onsite,52571.52
PhD,39,Suburban,Healthcare,Accountant,Onsite,96535.34
PhD,6,Suburban,Finance,Accountant,Hybrid,51022.55
Bachelor's Degree,10,Suburban,Finance,Web Developer,Remote,55180.62
Master's Degree,0,Urban,Tech,Professor,Remote,41241.82
Master's Degree,28,Suburban,Tech,Professor,Remote,83585.47
High School,37,Urban,Finance,HR Manager,Remote,85962.36
High School,31,Urban,Healthcare,Others,Hybrid,76427.33
High School,32,Urban,Healthcare,Software Engineer,Onsite,88509.47
Master's Degree,5,Rural,Tech,Others,Remote,48411.57
Master's Degree,27,Urban,Tech,System Administrator,Remote,79816.43
High School,18,Suburban,Healthcare,Software Engineer,Onsite,47132.02
PhD,36,Suburban,Education,Accountant,Onsite,102096.38
High School,12,Suburban,Tech,Data Analyst,Remote,49675.25
PhD,10,Rural,Education,Financial Analyst,Onsite,56346.61
PhD,26,Suburban,Healthcare,System Administrator,Onsite,81785.05
PhD,33,Urban,Finance,Others,Hybrid,99947.16
Bachelor's Degree,21,Suburban,Education,HR Manager,Onsite,75999.6
Master's Degree,7,Urban,Finance,UX Designer,Onsite,59112.67
PhD,35,Suburban,Education,Accountant,Hybrid,107109.09
Bachelor's Degree,14,Urban,Finance,Web Developer,Hybrid,56003.74
Master's Degree,34,Urban,Education,Web Developer,Remote,96973.9
PhD,28,Suburban,Education,Project Manager,Remote,83140.3
Bachelor's Degree,3,Urban,Education,System Administrator,Remote,41290.39
Master's Degree,31,Urban,Healthcare,Others,Onsite,82719.36
PhD,26,Rural,Finance,Others,Hybrid,85427.3
Bachelor's Degree,12,Urban,Healthcare,Project Manager,Remote,63005.56
Master's Degree,20,Suburban,Healthcare,System Administrator,Remote,69636.79
Bachelor's Degree,40,Suburban,Education,UX Designer,Onsite,103002.06
PhD,29,Urban,Finance,Professor,Hybrid,92629.92
PhD,24,Suburban,Finance,Web Developer,Onsite,76397.05
Master's Degree,27,Rural,Education,Software Engineer,Hybrid,83269.88
High School,23,Suburban,Finance,Software Engineer,Remote,63700.35
Master's Degree,27,Urban,Finance,Software Engineer,Remote,90168.28
PhD,8,Suburban,Education,System Administrator,Hybrid,60232.49
Master's Degree,32,Suburban,Education,Project Manager,Remote,89512.73
PhD,20,Rural,Healthcare,Web Developer,Hybrid,77777.06
PhD,9,Urban,Education,HR Manager,Remote,51015.85
PhD,19,Urban,Tech,Web Developer,Hybrid,75550.99
High School,5,Suburban,Tech,Medical Assistant,Remote,40863.46
PhD,14,Urban,Education,Web Developer,Hybrid,68319.31
Bachelor's Degree,15,Rural,Education,UX Designer,Hybrid,53816.35
Bachelor's Degree,9,Urban,Healthcare,Data Analyst,Onsite,54760.27
Master's Degree,3,Urban,Education,Medical Assistant,Hybrid,45254.21
PhD,8,Urban,Tech,Web Developer,Hybrid,56864.02
Bachelor's Degree,39,Rural,Finance,UX Designer,Hybrid,96525.88
High School,13,Urban,Education,System Administrator,Hybrid,44333.56
Master's Degree,37,Rural,Education,UX Designer,Remote,91751.56
High School,30,Urban,Healthcare,Financial Analyst,Remote,74372.39
PhD,23,Suburban,Education,Accountant,Hybrid,85462.85
Bachelor's Degree,16,Urban,Tech,Professor,Hybrid,69169.43
Bachelor's Degree,20,Urban,Finance,HR Manager,Onsite,64070.19
Master's Degree,21,Suburban,Education,Professor,Remote,76178.73
Bachelor's Degree,18,Urban,Finance,UX Designer,Onsite,58659.58
Bachelor's Degree,12,Rural,Education,Others,Hybrid,62445.25
PhD,40,Suburban,Healthcare,Accountant,Remote,107891.45
Bachelor's Degree,6,Suburban,Healthcare,System Administrator,Remote,47332.25
High School,25,Suburban,Healthcare,Professor,Onsite,69820.36
High School,10,Suburban,Education,UX Designer,Onsite,44210.77
Bachelor's Degree,22,Urban,Finance,Project Manager,Onsite,72086.59
Master's Degree,11,Urban,Finance,Professor,Onsite,52512.47
PhD,26,Urban,Tech,Financial Analyst,Remote,82363.95
Master's Degree,14,Suburban,Education,System Administrator,Hybrid,52614.53
PhD,36,Rural,Healthcare,Software Engineer,Hybrid,101728.79
Bachelor's Degree,29,Suburban,Finance,Others,Onsite,75925.31
PhD,4,Urban,Healthcare,Web Developer,Remote,56766.86
Master's Degree,38,Urban,Finance,Web Developer,Hybrid,93425.27
Bachelor's Degree,25,Rural,Tech,Financial Analyst,Remote,74377.34
Master's Degree,9,Rural,Healthcare,Accountant,Hybrid,50448.82
High School,33,Rural,Finance,Accountant,Hybrid,81063.42
Master's Degree,39,Rural,Education,Web Developer,Remote,99585.22
High School,33,Rural,Healthcare,Software Engineer,Hybrid,83165.39
Bachelor's Degree,13,Rural,Tech,Professor,Onsite,49707.17
High School,14,Suburban,Finance,Web Developer,Hybrid,47224.11
Master's Degree,2,Urban,Education,Project Manager,Hybrid,54712.11
Bachelor's Degree,8,Suburban,Education,Software Engineer,Remote,46845.73
Bachelor's Degree,30,Suburban,Tech,Project Manager,Remote,84408.54
High School,30,Rural,Finance,Others,Onsite,71061.61
Bachelor's Degree,11,Suburban,Healthcare,Software Engineer,Onsite,50038.41
Master's Degree,1,Suburban,Finance,Software Engineer,Remote,44632.33
Bachelor's Degree,38,Suburban,Healthcare,Professor,Hybrid,91462.35
High School,5,Suburban,Finance,Financial Analyst,Hybrid,41114.36
PhD,9,Suburban,Finance,Data Analyst,Remote,63154.13
High School,35,Urban,Finance,Medical Assistant,Onsite,92400.82
Bachelor's Degree,9,Urban,Finance,Financial Analyst,Remote,53343.45
Bachelor's Degree,15,Rural,Finance,Project Manager,Hybrid,52266.67
Bachelor's Degree,27,Suburban,Education,Software Engineer,Onsite,77080.52
PhD,12,Suburban,Education,Financial Analyst,Hybrid,66067.22
Bachelor's Degree,37,Rural,Education,System Administrator,Onsite,88572.3
High School,14,Suburban,Finance,HR Manager,Onsite,44701.8
Bachelor's Degree,20,Urban,Tech,HR Manager,Remote,68326.68
PhD,0,Suburban,Tech,Medical Assistant,Hybrid,36475.42
High School,13,Rural,Healthcare,Financial Analyst,Remote,48235.56
PhD,3,Urban,Tech,Financial Analyst,Remote,49060.19
High School,27,Urban,Education,Web Developer,Hybrid,64610.63
Master's Degree,1,Rural,Education,Others,Remote,43835.17
Bachelor's Degree,17,Suburban,Tech,Accountant,Remote,70121.02
Bachelor's Degree,27,Suburban,Tech,Web Developer,Remote,89105.05
PhD,24,Suburban,Education,Professor,Onsite,82962.52
High School,35,Urban,Healthcare,Data Analyst,Hybrid,88964.98
PhD,37,Suburban,Finance,Others,Onsite,104939.9
PhD,32,Suburban,Education,Web Developer,Remote,90067.03
High School,21,Rural,Education,UX Designer,Onsite,53792.74
PhD,28,Urban,Education,Medical Assistant,Onsite,85063.25
High School,38,Urban,Finance,Medical Assistant,Remote,95716.83
Bachelor's Degree,17,Suburban,Finance,Software Engineer,Onsite,59831.9
PhD,26,Rural,Finance,Project Manager,Onsite,81308.8
Master's Degree,7,Urban,Tech,Medical Assistant,Hybrid,56245.87
Bachelor's Degree,38,Rural,Tech,Others,Onsite,93518.0
PhD,19,Urban,Finance,UX Designer,Hybrid,70139.49
Bachelor's Degree,6,Suburban,Tech,Financial Analyst,Onsite,47334.32
Bachelor's Degree,31,Urban,Healthcare,Accountant,Remote,84514.7
Bachelor's Degree,1,Suburban,Finance,Accountant,Remote,44750.82
PhD,28,Rural,Healthcare,Data Analyst,Remote,89062.07
PhD,25,Urban,Tech,Financial Analyst,Remote,92522.94
Master's Degree,10,Suburban,Finance,Web Developer,Remote,59220.03
Bachelor's Degree,25,Suburban,Finance,Others,Onsite,69941.02
Master's Degree,5,Urban,Healthcare,Software Engineer,Remote,57228.34
Bachelor's Degree,32,Rural,Education,Medical Assistant,Onsite,88446.84
High School,16,Rural,Healthcare,Data Analyst,Remote,52904.35
PhD,19,Rural,Healthcare,Accountant,Hybrid,67080.84
Master's Degree,25,Urban,Education,Data Analyst,Onsite,80132.76
PhD,19,Suburban,Tech,Professor,Remote,73086.7
High School,18,Urban,Finance,HR Manager,Remote,68429.56
High School,1,Rural,Education,Web Developer,Hybrid,27995.33
High School,19,Rural,Healthcare,Data Analyst,Hybrid,56810.88
Bachelor's Degree,10,Suburban,Education,UX Designer,Remote,59632.2
Bachelor's Degree,27,Rural,Healthcare,Professor,Hybrid,73525.98
Master's Degree,14,Rural,Education,UX Designer,Onsite,69503.87
High School,37,Suburban,Healthcare,Software Engineer,Remote,95035.18
High School,1,Rural,Healthcare,Financial Analyst,Remote,33414.47
Bachelor's Degree,34,Urban,Tech,Accountant,Onsite,84905.46
Bachelor's Degree,40,Urban,Education,UX Designer,Hybrid,101591.15
Master's Degree,33,Urban,Healthcare,HR Manager,Remote,93459.07
Master's Degree,4,Rural,Healthcare,Others,Onsite,36620.17
High School,0,Urban,Healthcare,Project Manager,Onsite,36973.47
High School,23,Suburban,Education,Accountant,Onsite,64493.46
High School,9,Urban,Education,Software Engineer,Onsite,48529.66
Bachelor's Degree,37,Urban,Education,UX Designer,Remote,93931.22
PhD,31,Urban,Tech,Accountant,Remote,103249.15
PhD,1,Suburban,Healthcare,Medical Assistant,Hybrid,46994.65
High School,29,Rural,Education,System Administrator,Hybrid,71269.19
High School,32,Rural,Education,Web Developer,Onsite,80270.34
High School,21,Urban,Education,Financial Analyst,Onsite,68311.09
Bachelor's Degree,12,Suburban,Finance,Data Analyst,Remote,60763.43
Bachelor's Degree,24,Urban,Healthcare,Others,Hybrid,73060.63
High School,28,Urban,Education,Medical Assistant,Hybrid,80336.28
PhD,8,Rural,Finance,Professor,Onsite,55257.3
High School,16,Suburban,Tech,HR Manager,Hybrid,64691.52
Master's Degree,24,Rural,Education,Accountant,Remote,84111.36
PhD,22,Rural,Education,Software Engineer,Onsite,76199.31
High School,37,Rural,Healthcare,Project Manager,Hybrid,90763.31
Master's Degree,25,Suburban,Finance,Professor,Hybrid,84591.25
High School,21,Urban,Tech,HR Manager,Remote,68462.35
PhD,12,Suburban,Tech,Project Manager,Hybrid,72203.08
Bachelor's Degree,24,Rural,Education,Software Engineer,Onsite,57776.52
Master's Degree,23,Urban,Finance,Web Developer,Hybrid,65230.89
PhD,19,Urban,Tech,Medical Assistant,Hybrid,80258.85
PhD,29,Urban,Healthcare,Medical Assistant,Onsite,82658.04
Bachelor's Degree,36,Suburban,Healthcare,Others,Onsite,83879.27
Master's Degree,39,Suburban,Finance,Accountant,Hybrid,96636.96
Master's Degree,14,Rural,Education,Data Analyst,Remote,63733.69
Master's Degree,30,Urban,Tech,Financial Analyst,Remote,92137.28
Master's Degree,15,Rural,Finance,Software Engineer,Hybrid,62611.73
Master's Degree,13,Suburban,Healthcare,Project Manager,Hybrid,58876.54
High School,40,Suburban,Finance,Financial Analyst,Remote,92220.85
Bachelor's Degree,3,Urban,Education,Financial Analyst,Onsite,52866.92
Bachelor's Degree,15,Suburban,Healthcare,Project Manager,Hybrid,60265.92
Master's Degree,34,Suburban,Healthcare,Accountant,Remote,102818.65
PhD,25,Rural,Education,Professor,Remote,82452.63
PhD,6,Urban,Education,Web Developer,Onsite,55597.52
PhD,4,Urban,Tech,Accountant,Onsite,56244.49
PhD,27,Urban,Finance,Data Analyst,Hybrid,88636.73
Master's Degree,30,Urban,Education,Web Developer,Remote,86919.39
Bachelor's Degree,37,Suburban,Finance,Project Manager,Remote,98648.66
PhD,37,Rural,Finance,Software Engineer,Remote,95057.78
PhD,19,Rural,Finance,System Administrator,Hybrid,72425.6
PhD,15,Urban,Finance,Medical Assistant,Hybrid,65557.07
Master's Degree,9,Suburban,Finance,Others,Hybrid,63883.98
Bachelor's Degree,21,Urban,Education,HR Manager,Hybrid,70314.47
Bachelor's Degree,28,Suburban,Education,Professor,Onsite,78222.81
Master's Degree,25,Urban,Education,Project Manager,Remote,84954.21
PhD,40,Suburban,Finance,UX Designer,Hybrid,104369.19
Master's Degree,1,Rural,Education,System Administrator,Remote,37352.7
High School,27,Rural,Tech,HR Manager,Remote,71245.88
PhD,33,Suburban,Healthcare,HR Manager,Hybrid,98410.01
High School,31,Suburban,Finance,System Administrator,Hybrid,82594.1
Bachelor's Degree,9,Urban,Tech,UX Designer,Onsite,46973.74
Master's Degree,5,Rural,Tech,Data Analyst,Hybrid,50352.29
High School,32,Urban,Education,Software Engineer,Onsite,73654.0
Master's Degree,34,Urban,Education,HR Manager,Onsite,83725.04
High School,12,Rural,Finance,Others,Onsite,47084.71
High School,6,Urban,Tech,HR Manager,Hybrid,45897.08
High School,9,Suburban,Finance,Medical Assistant,Onsite,50173.61
Master's Degree,17,Suburban,Healthcare,Financial Analyst,Onsite,65503.07
Bachelor's Degree,0,Rural,Education,Web Developer,Remote,32727.07
PhD,17,Urban,Finance,Others,Hybrid,69082.27
Master's Degree,32,Rural,Healthcare,Others,Remote,92111.1
High School,19,Suburban,Healthcare,Project Manager,Onsite,60434.21
PhD,10,Urban,Education,Others,Onsite,65366.31
Master's Degree,6,Urban,Tech,Others,Remote,59088.82
Bachelor's Degree,27,Urban,Tech,Others,Remote,81955.86
Bachelor's Degree,22,Rural,Healthcare,Medical Assistant,Remote,75071.23
PhD,22,Suburban,Healthcare,System Administrator,Remote,83439.54
High School,8,Suburban,Tech,Software Engineer,Remote,41161.36
High School,4,Urban,Education,System Administrator,Remote,39499.27
High School,13,Suburban,Healthcare,Professor,Onsite,46069.37
Bachelor's Degree,37,Rural,Tech,HR Manager,Onsite,91579.18
High School,17,Urban,Finance,Financial Analyst,Onsite,60982.1
PhD,28,Rural,Healthcare,Accountant,Hybrid,84343.42
Bachelor's Degree,24,Urban,Finance,Medical Assistant,Remote,78525.76
PhD,39,Rural,Education,Web Developer,Remote,103166.2
Bachelor's Degree,17,Urban,Education,System Administrator,Onsite,67376.71
High School,22,Suburban,Tech,Financial Analyst,Hybrid,62534.55
Bachelor's Degree,31,Urban,Healthcare,Professor,Remote,97297.07
Bachelor's Degree,2,Urban,Finance,Financial Analyst,Remote,41216.19
High School,19,Urban,Education,System Administrator,Remote,60416.65
PhD,7,Urban,Healthcare,Web Developer,Remote,59626.13
Bachelor's Degree,35,Rural,Healthcare,Software Engineer,Onsite,83346.67
Master's Degree,12,Suburban,Tech,Financial Analyst,Remote,53228.98
High School,0,Urban,Education,Software Engineer,Hybrid,32836.35
Bachelor's Degree,1,Suburban,Tech,Accountant,Hybrid,36404.06
Bachelor's Degree,39,Suburban,Tech,HR Manager,Hybrid,91392.76
High School,17,Suburban,Education,Data Analyst,Hybrid,52815.39
High School,40,Rural,Finance,Medical Assistant,Hybrid,90921.83
Master's Degree,22,Suburban,Education,Software Engineer,Onsite,73525.61
Master's Degree,8,Rural,Healthcare,Project Manager,Remote,58501.65
PhD,7,Rural,Finance,Software Engineer,Onsite,61953.27
Master's Degree,24,Rural,Education,UX Designer,Hybrid,83654.63
Master's Degree,30,Suburban,Finance,Professor,Hybrid,82625.72
High School,13,Suburban,Education,Software Engineer,Remote,64745.34
PhD,13,Urban,Education,Others,Remote,66501.23
Bachelor's Degree,0,Urban,Education,Software Engineer,Onsite,38486.46
High School,13,Rural,Finance,Web Developer,Hybrid,56513.82
High School,2,Suburban,Education,Financial Analyst,Onsite,36437.28
PhD,12,Urban,Finance,Financial Analyst,Onsite,70145.52
PhD,32,Rural,Education,Project Manager,Onsite,83932.43
High School,22,Rural,Healthcare,Others,Hybrid,64917.14
Bachelor's Degree,16,Rural,Healthcare,System Administrator,Remote,66469.19
High School,37,Rural,Education,Data Analyst,Remote,91141.54
PhD,36,Suburban,Tech,Professor,Onsite,95233.27
Master's Degree,33,Rural,Education,Financial Analyst,Hybrid,84963.11
Bachelor's Degree,21,Rural,Tech,Web Developer,Onsite,66188.84
Master's Degree,25,Suburban,Tech,Medical Assistant,Onsite,66162.21
Master's Degree,37,Suburban,Education,UX Designer,Hybrid,97154.26
High School,39,Rural,Education,HR Manager,Hybrid,90892.96
High School,14,Urban,Finance,Web Developer,Hybrid,56088.1
High School,7,Urban,Education,Professor,Hybrid,51270.22
High School,38,Rural,Tech,UX Designer,Hybrid,89689.92
Bachelor's Degree,27,Rural,Tech,Medical Assistant,Hybrid,79596.14
Master's Degree,22,Rural,Education,System Administrator,Onsite,70780.72
Master's Degree,9,Rural,Finance,Project Manager,Onsite,56847.89
PhD,5,Suburban,Finance,Medical Assistant,Hybrid,50074.28
PhD,13,Suburban,Finance,System Administrator,Remote,71709.28
PhD,9,Urban,Healthcare,Professor,Remote,57202.69
PhD,21,Urban,Finance,Medical Assistant,Hybrid,76775.01
Bachelor's Degree,13,Urban,Education,Data Analyst,Hybrid,61870.71
PhD,2,Suburban,Healthcare,System Administrator,Onsite,40974.18
Bachelor's Degree,22,Suburban,Tech,Project Manager,Onsite,66421.47
PhD,26,Rural,Healthcare,UX Designer,Hybrid,81721.16
Master's Degree,22,Urban,Education,Medical Assistant,Onsite,79878.41
PhD,37,Suburban,Healthcare,Project Manager,Remote,92551.65
Master's Degree,34,Urban,Education,HR Manager,Remote,99919.88
Master's Degree,8,Rural,Finance,Web Developer,Remote,46133.81
High School,25,Urban,Tech,Medical Assistant,Remote,67229.0
PhD,12,Rural,Tech,UX Designer,Hybrid,60180.36
High School,21,Urban,Finance,Financial Analyst,Hybrid,66207.65
Bachelor's Degree,19,Suburban,Education,Software Engineer,Hybrid,65410.81
High School,39,Suburban,Tech,HR Manager,Remote,102368.8
Master's Degree,31,Urban,Education,Web Developer,Hybrid,87950.63
Bachelor's Degree,5,Rural,Finance,Data Analyst,Remote,32715.32
PhD,6,Suburban,Finance,Others,Onsite,58314.14
PhD,13,Rural,Healthcare,Medical Assistant,Hybrid,66632.07
Bachelor's Degree,13,Urban,Tech,Others,Hybrid,53461.86
PhD,28,Suburban,Education,HR Manager,Onsite,80862.71
Master's Degree,39,Urban,Tech,Medical Assistant,Onsite,105978.08
Bachelor's Degree,26,Urban,Education,Project Manager,Remote,87054.56
Master's Degree,27,Suburban,Education,Professor,Remote,80309.76
PhD,8,Urban,Healthcare,Web Developer,Onsite,61920.64
PhD,10,Urban,Education,Accountant,Hybrid,52312.98
High School,27,Rural,Finance,Data Analyst,Onsite,78261.18
Master's Degree,8,Urban,Finance,Others,Onsite,46474.96
Master's Degree,19,Urban,Healthcare,Project Manager,Onsite,77749.95
Master's Degree,22,Urban,Finance,Professor,Remote,72488.91
PhD,29,Urban,Education,Professor,Hybrid,87152.12
High School,7,Urban,Finance,Professor,Remote,50861.12
High School,20,Rural,Healthcare,Medical Assistant,Hybrid,58940.56
Bachelor's Degree,26,Suburban,Tech,Financial Analyst,Remote,82268.87
PhD,18,Rural,Tech,Accountant,Hybrid,70181.53
High School,7,Urban,Healthcare,Professor,Remote,49840.9
High School,28,Urban,Education,UX Designer,Hybrid,70038.15
PhD,29,Suburban,Education,Web Developer,Hybrid,91000.92
PhD,32,Rural,Finance,Financial Analyst,Remote,100265.83
PhD,10,Suburban,Tech,Others,Remote,61442.35
High School,15,Suburban,Healthcare,Accountant,Hybrid,44926.83
PhD,40,Suburban,Healthcare,Software Engineer,Onsite,109298.06
High School,5,Urban,Healthcare,Professor,Hybrid,45724.91
Bachelor's Degree,16,Suburban,Education,HR Manager,Remote,65623.57
Bachelor's Degree,8,Rural,Healthcare,Project Manager,Hybrid,49443.04
Master's Degree,15,Urban,Education,Professor,Hybrid,64156.46
PhD,38,Suburban,Education,Financial Analyst,Remote,116322.18
PhD,20,Urban,Tech,Web Developer,Remote,93335.29
High School,31,Urban,Tech,Data Analyst,Remote,77507.97
Bachelor's Degree,18,Rural,Finance,HR Manager,Remote,59468.62
Bachelor's Degree,23,Rural,Healthcare,System Administrator,Hybrid,67168.22
Bachelor's Degree,29,Suburban,Healthcare,System Administrator,Onsite,83231.59
Bachelor's Degree,15,Urban,Finance,Professor,Remote,66806.72
Bachelor's Degree,15,Suburban,Tech,Software Engineer,Remote,51430.59
Bachelor's Degree,6,Rural,Tech,System Administrator,Onsite,54414.05
PhD,16,Rural,Education,System Administrator,Onsite,72789.21
Master's Degree,6,Rural,Finance,Others,Onsite,58953.31
Bachelor's Degree,15,Rural,Tech,Professor,Hybrid,57167.61
Bachelor's Degree,21,Rural,Education,Web Developer,Onsite,65194.77
High School,9,Urban,Education,Web Developer,Hybrid,43741.51
PhD,22,Urban,Tech,HR Manager,Hybrid,77609.44
PhD,20,Urban,Healthcare,UX Designer,Remote,78446.07
Bachelor's Degree,1,Urban,Healthcare,HR Manager,Hybrid,34912.35
PhD,17,Suburban,Education,Project Manager,Hybrid,74718.31
Bachelor's Degree,19,Rural,Education,Data Analyst,Onsite,64583.09
High School,34,Rural,Finance,Software Engineer,Onsite,86814.05
High School,26,Suburban,Education,Others,Onsite,65884.96
Bachelor's Degree,14,Rural,Tech,Professor,Onsite,60831.53
Bachelor's Degree,19,Rural,Education,Project Manager,Hybrid,72680.0
High School,26,Suburban,Healthcare,Software Engineer,Hybrid,70887.95
High School,22,Suburban,Tech,Financial Analyst,Remote,70523.31
PhD,28,Rural,Finance,Medical Assistant,Hybrid,87929.91
High School,6,Rural,Healthcare,Data Analyst,Remote,39798.59
Master's Degree,33,Rural,Finance,UX Designer,Remote,91947.85
High School,15,Urban,Healthcare,UX Designer,Remote,49976.43
Bachelor's Degree,0,Urban,Finance,Accountant,Remote,46036.76
High School,4,Rural,Healthcare,Financial Analyst,Remote,33471.84
High School,12,Urban,Education,Data Analyst,Hybrid,47273.19
High School,37,Rural,Healthcare,Financial Analyst,Onsite,79221.05
Master's Degree,38,Rural,Tech,System Administrator,Onsite,88478.15
Bachelor's Degree,26,Suburban,Education,Accountant,Hybrid,76798.82
Bachelor's Degree,15,Rural,Healthcare,Data Analyst,Remote,62295.14
Bachelor's Degree,13,Urban,Healthcare,UX Designer,Onsite,56887.28
Bachelor's Degree,8,Rural,Education,HR Manager,Onsite,39229.33
PhD,27,Rural,Healthcare,Project Manager,Remote,96724.66
PhD,8,Rural,Finance,Medical Assistant,Onsite,57370.45
High School,17,Rural,Healthcare,Professor,Hybrid,53278.5
PhD,10,Urban,Tech,UX Designer,Hybrid,57169.61
PhD,29,Rural,Healthcare,System Administrator,Onsite,87424.78
Master's Degree,1,Rural,Tech,UX Designer,Hybrid,44154.93
Master's Degree,0,Urban,Healthcare,Project Manager,Remote,61076.87
PhD,25,Urban,Healthcare,Medical Assistant,Onsite,78742.1
Bachelor's Degree,7,Suburban,Healthcare,Accountant,Remote,53234.59
PhD,27,Urban,Education,Professor,Onsite,84629.55
High School,35,Rural,Tech,HR Manager,Remote,84183.36
Master's Degree,8,Suburban,Finance,Financial Analyst,Onsite,58999.61
Master's Degree,40,Suburban,Healthcare,Professor,Hybrid,95610.43
Master's Degree,23,Suburban,Education,Project Manager,Hybrid,71615.54
PhD,35,Urban,Education,System Administrator,Remote,105987.13
Master's Degree,19,Suburban,Tech,Software Engineer,Remote,73408.63
PhD,23,Rural,Education,Data Analyst,Onsite,88317.69
High School,34,Rural,Tech,Medical Assistant,Remote,81157.65
Master's Degree,2,Rural,Healthcare,System Administrator,Hybrid,40372.79
PhD,14,Urban,Finance,Web Developer,Hybrid,67666.54
High School,29,Rural,Finance,System Administrator,Onsite,77326.47
PhD,20,Suburban,Finance,Data Analyst,Remote,81583.68
Bachelor's Degree,7,Urban,Finance,Data Analyst,Onsite,49770.44
Master's Degree,1,Urban,Healthcare,Professor,Hybrid,48198.09
PhD,12,Rural,Education,UX Designer,Remote,65818.73
Bachelor's Degree,9,Rural,Education,Data Analyst,Onsite,43050.9
PhD,14,Urban,Healthcare,Accountant,Hybrid,67697.89
PhD,5,Urban,Tech,HR Manager,Hybrid,49956.63
Bachelor's Degree,30,Suburban,Tech,Data Analyst,Hybrid,82860.19
Bachelor's Degree,26,Rural,Tech,Medical Assistant,Hybrid,69882.34
PhD,15,Suburban,Education,Financial Analyst,Hybrid,69435.75
PhD,23,Rural,Healthcare,Data Analyst,Onsite,83296.64
Master's Degree,17,Urban,Tech,HR Manager,Remote,69013.48
High School,27,Urban,Education,Financial Analyst,Remote,73089.94
Master's Degree,8,Urban,Finance,Software Engineer,Hybrid,51202.18
Bachelor's Degree,31,Urban,Healthcare,Web Developer,Onsite,92586.44
PhD,25,Suburban,Tech,Medical Assistant,Remote,91629.85
Master's Degree,32,Suburban,Education,Project Manager,Onsite,97759.93
High School,11,Rural,Healthcare,System Administrator,Onsite,47608.21
High School,17,Rural,Finance,Others,Onsite,53559.79
Master's Degree,0,Rural,Healthcare,Accountant,Remote,43405.94
Bachelor's Degree,11,Rural,Healthcare,Professor,Onsite,58182.91
Master's Degree,12,Urban,Healthcare,Professor,Onsite,51366.47
PhD,39,Urban,Healthcare,Project Manager,Onsite,112176.18
Bachelor's Degree,39,Suburban,Finance,Web Developer,Onsite,100061.69
Bachelor's Degree,15,Suburban,Healthcare,System Administrator,Onsite,56055.27
Bachelor's Degree,28,Rural,Finance,Professor,Remote,86083.79
High School,35,Suburban,Finance,Financial Analyst,Hybrid,68818.13
Bachelor's Degree,9,Urban,Tech,Data Analyst,Remote,53105.89
Bachelor's Degree,32,Rural,Finance,Accountant,Onsite,78720.16
Master's Degree,12,Suburban,Education,Data Analyst,Onsite,53571.26
Master's Degree,4,Urban,Finance,Project Manager,Onsite,42657.33
Bachelor's Degree,30,Suburban,Tech,UX Designer,Hybrid,85083.47
PhD,31,Rural,Tech,Data Analyst,Hybrid,94774.62
Bachelor's Degree,10,Suburban,Healthcare,Others,Remote,55230.85
PhD,32,Rural,Healthcare,Others,Hybrid,92116.95
Bachelor's Degree,39,Rural,Healthcare,Medical Assistant,Onsite,97463.7
Master's Degree,19,Suburban,Healthcare,Web Developer,Remote,69558.51
Master's Degree,16,Rural,Tech,Professor,Remote,65886.93
PhD,22,Urban,Education,UX Designer,Remote,79062.93
High School,6,Suburban,Healthcare,HR Manager,Remote,43054.45
High School,32,Urban,Healthcare,Others,Onsite,83348.27
PhD,28,Rural,Finance,Data Analyst,Hybrid,92037.21
High School,28,Urban,Finance,Others,Hybrid,76434.94
Bachelor's Degree,21,Rural,Finance,UX Designer,Onsite,66227.56
High School,33,Rural,Finance,Accountant,Onsite,85321.04
High School,24,Urban,Finance,Project Manager,Onsite,66351.65
Master's Degree,24,Rural,Tech,System Administrator,Onsite,68762.15
PhD,36,Urban,Tech,Accountant,Remote,94842.13
Bachelor's Degree,36,Suburban,Finance,UX Designer,Remote,89429.54
High School,36,Rural,Healthcare,Others,Hybrid,78678.35
High School,13,Rural,Education,Accountant,Remote,58100.79
Bachelor's Degree,40,Urban,Education,Project Manager,Hybrid,95688.57
High School,33,Suburban,Education,Data Analyst,Onsite,81621.95
PhD,15,Urban,Education,UX Designer,Remote,77647.94
Bachelor's Degree,29,Rural,Healthcare,Accountant,Onsite,75473.8
Master's Degree,20,Suburban,Finance,UX Designer,Hybrid,71501.12
High School,26,Suburban,Tech,Professor,Onsite,61888.38
Bachelor's Degree,8,Suburban,Tech,System Administrator,Hybrid,43277.31
Bachelor's Degree,6,Urban,Finance,Professor,Onsite,44728.03
Bachelor's Degree,34,Rural,Tech,Others,Onsite,84036.92
PhD,8,Rural,Tech,HR Manager,Onsite,55531.96
High School,27,Urban,Education,Data Analyst,Onsite,71110.74
PhD,8,Rural,Education,Professor,Remote,51315.18
Master's Degree,35,Urban,Finance,Medical Assistant,Remote,96352.41
High School,6,Rural,Education,HR Manager,Remote,37367.12
PhD,14,Rural,Finance,System Administrator,Hybrid,66703.69
Master's Degree,30,Urban,Tech,Software Engineer,Onsite,85967.21
Bachelor's Degree,29,Suburban,Finance,Financial Analyst,Remote,87025.2
